new2kid,rec,rec_ha
185342,76055.7092385549,336.250643497199
185343,-8222.08776163552,-44.5339892302533
185344,0,0
185345,0,0
185346,161000.504733083,469.817198591202
185347,120420.443749912,540.608052749324
185348,81012.8387067104,320.684171031016
185349,134219.153654243,418.780510621663
185350,172761.819460941,607.647532481212
185351,94618.6031006644,345.323368980527
185352,-28998.8070403407,-608.898835492718
185353,0,0
185354,0,0
185355,561209.600359924,2482.54122746082
185356,122976.92467689,417.9334738382
185357,147842.082208633,408.897664342264
185358,112713.962085545,314.349510526251
185359,247148.743271233,712.115851368099
185360,211051.766558269,553.034435789766
185361,89765.7964990352,238.818214829492
185362,0,0
185363,4543.83965568944,13.7796502067913
185364,12588.5877356581,36.6146835991243
185365,0,0
185366,0,0
185367,0,0
185368,35269.8561001183,92.1334896155268
185369,15296.7840559693,41.6877042318762
185370,6284.52232834076,18.0007800310512
185371,131841.653525966,422.400171488878
185372,157405.457165408,426.139985557788
185373,103655.7183776,325.06693336762
185374,125728.026914063,336.396058632945
185375,12615.5984423995,35.9482718289892
185376,12727.3691392716,34.7267916487629
185377,0,0
185378,6862.05599065495,20.6844189620345
185379,7342.26514362802,24.9101446772791
185380,0,0
185381,-41242.6793879402,-125.907798031064
185382,0,0
185383,21154.0166717774,97.2039824090861
185384,19618.2431228586,73.9264931619732
185385,8390.80376894487,32.7446000739312
185386,55448.9364894531,179.156499158168
185387,0,0
185388,0,0
185389,74907.8204889858,368.663436755775
185390,53286.9749694454,187.382769123325
185391,56067.6738924605,232.344624813175
185392,0,0
185393,36644.734069912,153.165032685108
185394,62086.4637441663,196.904511869782
185395,26357.3606799844,156.1917669925
185396,23530.2988866515,60.7331397967272
185397,20930.9597182292,59.3996728435026
185398,65549.2142912965,189.860142769867
185399,47309.9108207775,196.663657002212
185400,30614.2394856472,102.452990965899
185401,26436.3237347925,77.14410323571
185402,33080.1788258018,89.5874849717042
185403,49583.494600147,144.531936231882
185404,20059.4782757354,72.0591945244198
185405,89644.5259241603,281.513678032507
185406,10525.3071814423,35.2754325310175
185407,2901.29845890341,9.32705804316016
185408,7530.53632224856,22.7208302808435
185409,48403.2631143551,160.010787154893
185410,19027.092572856,69.4894831257955
185411,5080.58170876936,18.4371269200744
185412,13983.9853403624,52.5960896675595
185413,-20058.6551218343,-74.0171775713443
185414,67214.3595581751,191.425730318761
185415,38118.1551709794,110.768340489588
185416,42700.7689384617,118.922925653098
185417,134223.629237974,359.48745694804
185418,112393.805264195,320.838648984159
185419,71662.9361913004,195.800372107378
185420,85808.3453262273,247.598435913596
185421,40692.8210862548,121.222312493433
185422,23143.2752691805,196.025541284518
185953,0,0
185954,0,0
185955,0,0
185956,0,0
185957,-14696.0915295705,-79.518904585054
185958,0,0
185959,0,0
185960,-122058.484536987,-787.156438076037
185961,-48955.5714916999,-272.543195500069
185962,51247.4725856392,216.633920228029
185963,-31772.851744907,-162.624960946421
185964,-39812.8563994842,-212.618725764936
185965,-98984.8318808283,-536.503153825628
185966,-22242.9170095156,-295.09674307815
185967,-27570.4827468332,-150.606897734317
185968,-49466.1463594256,-240.199741909261
185969,-3993.14155682799,-19.6888287082234
185970,0,0
185971,0,0
185972,0,0
185973,0,0
185974,27174.0504278947,80.965513379202
185975,-16722.7756964262,-94.8809968591559
185976,11623.9812932017,74.4828358449973
185977,-120755.039600701,-2185.61157648327
185978,-318381.742842922,-3532.66843653727
185979,-46437.1840378209,-643.285220759271
185980,-62821.8890230166,-277.053534831385
185981,-53952.4568528486,-238.727685189595
185982,-537941.878062825,-1946.42018295007
185983,-1506336.26727347,-10721.2545713414
185984,0,0
185985,0,0
185986,70124.4310556749,333.528804069797
185987,28251.2559271487,129.853487776957
185988,14016.3155777524,65.0597612985872
185989,12419.7310361234,66.128334001766
185991,95865.7043304009,553.337398732473
185992,62168.4232761037,202.091583181158
185993,-12256.9714618609,-115.699970991031
185994,0,0
185995,-48915.5947503093,-359.50814349951
185996,0,0
185997,182749.363182913,568.98022100456
185998,5873.06557773281,35.2207830748594
185999,42208.4748915568,319.761173420885
186000,117174.612267316,310.756430908655
186001,218399.92671606,627.02284691166
186002,-43629.5978589189,-884.756473938559
186003,571030.228671969,6849.51334651148
186004,206795.884706042,2130.54246674997
186005,664179.011340546,1846.54434478076
186006,104142.796395702,276.837434932927
186007,206358.843203944,601.62928047797
186008,65179.9149939665,213.660821342923
186009,163925.385572855,521.328911171247
186010,205482.455520425,631.646259944245
186011,33924.1309948753,103.250145200283
186012,0,0
186013,0,0
186014,9486.18584652154,30.8619303668859
186015,64322.9969192263,187.66738707287
186016,7914.72851016529,21.369499858698
186017,12222.4371822431,31.9697514042977
186018,49046.7660553688,131.162987122766
186019,83906.3444654824,235.196480632046
186020,84071.1240673221,256.41212067807
186021,71240.9709652519,205.675845442806
186022,130943.563505688,339.177067306032
186023,192785.619819986,508.837003813885
186024,104175.262523103,312.369602767924
186025,63678.1637351704,288.381089458776
186026,0,0
186027,0,0
186028,30093.3156964395,83.5925436012208
186029,29596.7843846958,92.870852296225
186030,21187.7750448562,63.3061344673746
186031,30968.1657592947,112.585903676435
186032,5821.95705784676,15.3184181336645
186033,868.264532881323,2.52540092815496
186034,37445.1734629776,111.443968639814
186035,49676.0471962352,150.163732289586
186036,367.715493656398,1.48384532444542
186037,0,0
186038,19627.1948818186,113.945978994592
186039,0,0
186040,0,0
186041,-3493.18092872193,-16.4627044740464
186042,0,0
186043,58250.4252655988,228.881828155595
186044,154241.543965764,495.356223093583
186045,19966.083827517,61.186993351978
186046,88710.5769460651,250.993639317795
186047,28229.7444329651,91.0636917192422
186048,68528.5262504477,202.897190970978
186049,11409.7097649838,32.5991707570965
186050,20705.7405189086,70.0701878812475
