new2kid,farm_ha,wood_ha,sng_ha,urban_ha,water_ha
"41380",67.25,13.6875,90.9375,0,228.125
"41402",0,0,273.625,0,126.375
"41403",0,0,385.875,0,14.125
"41404",0,0,400,0,0
"41405",0,0,400,0,0
"41406",0,0,399.875,0,0.125
"41407",0,0,396.1875,0,3.8125
"41408",2.0625,0,299.125,0,98.8125
"41409",42.5,0,312.6875,0,44.8125
"41410",92.5625,0,259.375,0,48.0625
"41411",0,0,259.1875,0,140.8125
"41412",0,0,327,0,73
"41413",0,0,351.8125,0,48.1875
"41414",0,0,342.5,0,57.5
"41415",0,99.5,276,0,24.5
"41416",0,17.8125,371.9375,0,10.25
"41417",0,0,377.25,0,22.75
"41418",0,0,383.8125,0,16.1875
"41419",0,0,351.5625,0,48.4375
"41420",0,0,397.875,0,2.125
"41421",0,0,400,0,0
"41422",53.25,0,335.875,0,10.875
"41423",83.5625,2.3125,297.6875,0,16.4375
"41920",1.8125,15.5,261.5625,0,121.125
"41921",38.8125,2.0625,359.125,0,0
"41922",12.6875,10.625,375.3125,0,1.375
"41923",5.5625,27.5625,219.75,0,147.125
"41928",32.5,0.625,358.8125,0,8.0625
"41932",44.75,11.1875,344.0625,0,0
"41933",93.5,2,261.5,0,43
"41936",101.1875,0,93.4375,0,205.375
"42021",84.125,3.1875,225.6875,0,87
"42022",23.0625,0,376.9375,0,0
"42023",0.125,0,399.875,0,0
"42024",0,8.5,391.5,0,0
"42025",0,104,296,0,0
"42026",0,15.3125,384.6875,0,0
"42027",0,3.8125,394.8125,0,1.375
"42028",0,158.25,239.375,0,2.375
"42029",0,194.8125,62.375,2.1875,140.625
"42051",0,0,392,0,8
"42052",0,0,400,0,0
"42053",0,0,400,0,0
"42054",0,0,396.5,0,3.5
"42055",0,0,385.375,0,14.625
"42056",0,0,369.4375,0,30.5625
"42057",0,0,388.25,0,11.75
"42058",19.75,0,345.9375,0,34.3125
"42059",103.625,0,257.875,0,38.5
"42060",148.0625,0,196.3125,0,55.625
"42061",0,0,329.125,0,70.875
"42062",0,0,332.75,0,67.25
"42063",0,0,343.875,0,56.125
"42064",0,0,324.125,0,75.875
"42065",0,0,396.6875,0,3.3125
"42066",0,0,357.25,0,42.75
"42067",0,0,382.25,0,17.75
"42068",0,0,380.625,0,19.375
"42069",0,0,388.8125,0,11.1875
"42070",0,0,398.0625,0,1.9375
"42071",0,0,389.6875,0,10.3125
"42072",0,0,394.3125,0,5.6875
"42073",11.0625,2.0625,340.125,0,46.75
"42074",43.6875,0,187.75,0,168.5625
"42570",10.1875,40.25,268.0625,0,81.5
"42571",38.5625,45.1875,316.25,0,0
"42572",20.875,13.875,365.25,0,0
"42573",1.9375,43.375,352.625,0,2.0625
"42577",30.0625,14.0625,336.25,0,19.625
"42578",62.625,11.3125,326.0625,0,0
"42579",125.3125,8.8125,207.25,0,58.625
"42581",55.3125,13.25,177.0625,0,154.375
"42582",5.875,3.5,390.625,0,0
"42583",12.4375,0,387.5625,0,0
"42584",0,1.875,398.125,0,0
"42585",0,1.625,353.5625,0,44.8125
"42610",1.5,35.625,332,0,30.875
"42611",9.5,7.5,338.8125,0,44.1875
"42649",0,0,355.6875,0,44.3125
"42665",0,0,270.125,0,129.875
"42666",0,0,323.5,0,76.5
"42670",70.25,0,165.5,0,164.25
"42671",33.375,3.25,277.375,0,86
"42672",25.0625,0.0625,374.875,0,0
"42673",0.6875,0,399.3125,0,0
"42674",0,215,185,0,0
"42675",2.875,288.9375,108.1875,0,0
"42676",0.75,284.5,114.75,0,0
"42677",0,202.125,196.75,0,1.125
"42678",1.5,188,76.8125,0,133.6875
"42701",0,0,224.4375,0,175.5625
"42702",0,0,347.5625,0,52.4375
"42703",0,0,378.5625,0,21.4375
"42704",0,0,393.1875,0,6.8125
"42705",0,0,321.375,0,78.625
"42706",0,0,385,0,15
"42707",0,0,397,0,3
"42708",0,0,321.3125,0,78.6875
"42709",31.1875,0,340.6875,0,28.125
"42710",81.125,0,189.8125,0,129.0625
"42711",1.375,0,386.375,0,12.25
"42712",0,0,367.875,0,32.125
"42713",0,0,335.9375,0,64.0625
"42714",0,0,355.625,0,44.375
"42715",0,0,398.6875,0,1.3125
"42716",0,0,367.3125,0,32.6875
"42717",0,0,384.1875,0,15.8125
"42718",0,0,376.9375,0,23.0625
"42719",0,0,384.9375,0,15.0625
"42720",0,0,390.3125,0,9.6875
"42721",0,0,395.5625,0,4.4375
"42722",0,0,377.5625,0,22.4375
"42723",116.9375,0,256.4375,0,26.625
"42724",196.5625,0,127,0,76.4375
"43221",11.375,72.8125,259.625,0,56.1875
"43222",56.9375,37.875,305.1875,0,0
"43223",67.0625,109.9375,223,0,0
